Year,RegionCode,PersonsEngaged,AvgHoursWorked
1965,ESP,12.8893404006958,2024.53052909372
1966,ESP,13.0122718811035,2025.91942916709
1967,ESP,13.0992889404297,2034.76920985725
1968,ESP,13.1926612854004,1997.01299854797
1969,ESP,13.3160066604614,1988.76463586687
1970,ESP,13.4512300491333,1996.72045686796
1971,ESP,13.5764608383179,1996.8364568945
1972,ESP,13.7517499923706,1992.69245594631
1973,ESP,14.1212673187256,1980.85445323767
1974,ESP,14.2171974182129,1987.02745465011
1975,ESP,13.973970413208,1996.85545689884
1976,ESP,13.8103141784668,2006.96645921233
1977,ESP,13.6782264709473,2000.77645779601
1978,ESP,13.2937307357788,1973.5524515669
1979,ESP,13.0106058120728,1929.85644156886
1980,ESP,12.7240037918091,1918.12243888401
1981,ESP,12.4221229553223,1884.02043108116
1982,ESP,12.3168230056763,1862.92542625443
1983,ESP,12.2744121551514,1830.75741889409
1984,ESP,11.9979648590088,1786.69240881161
1985,ESP,11.8669776916504,1776.70040652535
1986,ESP,12.1257791519165,1768.66740468733
1987,ESP,12.6823873519897,1760.64940285273
1988,ESP,13.0967035293579,1756.57840192125
1989,ESP,13.5431327819824,1744.56039917142
1950,MEX,7.89448595046997,2274.84448818898
1951,MEX,7.98579502105713,2274.42169381364
1952,MEX,8.07816028594971,2273.99897801733
1953,MEX,8.171592712402338,2273.57634078545
